Reference Designators,MPN,Quantity,Value,Description,Package,Notes,Original MPN,Original Comment,Source Row,Quantity for 5,Manufacturer,Sourcing Status,Lifecycle,Supplier,Customer Supplied,Substitution Allowed
"D1, D2, D7, D8, D9, D10, D11, D12",LTST-C190KRKT,8,,Red 631nm LED Indication - Discrete 2V 0603,LEDC1608X35N,Exact MPN; no automatic substitution.,LTST-C190KRKT,LTST-C190KRKT,17,40,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"D3, D4",0402ESDB-MLP1,2,,"ESD Suppressors / TVS Diodes ESD Protection Device, 0402, Bidirectional, 4V working, 15V breakdown, 0.05pF Cd",DIONC1105X44N,Exact MPN; no automatic substitution.,0402ESDB-MLP1,0402ESDB-MLP1,18,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
J1,M20-7832046,1,,"RPI 40-pin 2.54mm header, 2-rows, socket",rpi_zero,Exact MPN; no automatic substitution. First original BOM alternative selected for quotation; verify mounting side and mating height.,"M20-7832046, PPPC202LFBN-RC, 61304021821",M20-7832046,19,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"J2, J3",CON-SMA-EDGE-S,2,,RF SMA Connectors / Coaxial Connectors SMA Female PCB Edge Mount,MOLEX_0732511150,Exact MPN; no automatic substitution.,CON-SMA-EDGE-S,CON-SMA-EDGE-S,20,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
J6,10129383-912001ALF,1,,Headers & Wire Housings ECONOSTIK HEADER DR VT SMT 2X6,10129383912001ALF,Exact MPN; no automatic substitution.,10129383-912001ALF,10129383-912001ALF,21,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
J7,CONUFL001-SMD-T,1,,RF Connectors / Coaxial Connectors U.FL Straight Surface Mount Jack,LINX_CONUFL001-SMD-T,"Exact MPN; no automatic substitution. RESOLVED: populate J7 with exact MPN CONUFL001-SMD-T. The BOM, PnP, assembly drawing and physical reference board agree; J7 is outside the schematic DO NOT PLACE boundary. Leave R25, C108 and C122 DNP so J7 remains electrically isolated.",CONUFL001-SMD-T,#NAME?,22,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"L1, L2, L4, L5, L13, L14, L15, L18, L20, L21",BLM15HD182SN1D,10,,Ferrite Beads 1800ohms GHz HiSpd,0402 FERRITE BEAD,Exact MPN; no automatic substitution.,BLM15HD182SN1D,BLM15HD182SN1D,23,50,,Not reverified; exact MPN required,Not reverified,,TBD,NO
L3,0402CS-5N6XGLW,1,5.6n,Fixed Inductors 1005 5.6nH Unshld 2% 760mA 83mOhms,CoilCraft 0402,Exact MPN; no automatic substitution.,0402CS-5N6XGLW,5.6n,24,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R1, R6, R7, R33, R34, R47, R48, R49, R50, R51, R52",CRCW0402470RFKED,11,470,Thick Film Resistors - SMD 1/16watt 470ohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW0402470RFKED,470,25,55,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R2, R8, R9, R11, R16, R30",RC0402FR-07102KL,6,102k,Thick Film Resistors - SMD 102 kOhms 62.5mW 0402 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,RC0402FR-07102KL,102k,26,30,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R3, R5, R14, R15, R27, R28, R35, R43, R44",CRCW040210K0FKEDC,9,10k,Thick Film Resistors - SMD 0402 1/16watt 10Kohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW040210K0FKEDC,10k,27,45,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R13, R17, R18, R19, R20, R22, R24",CRCW0402100RFKEDC,7,100,Thick Film Resistors - SMD 1/16watt 100ohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW0402100RFKEDC,100,28,35,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R21, R23",CRCW0402162RFKED,2,162,Thick Film Resistors - SMD 1/16watt 162ohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW0402162RFKED,162,29,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
R36,CRCW040222K0FKEDC,1,22k,Thick Film Resistors - SMD 1/16watt 22kohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW040222K0FKEDC,22k,30,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"R42, R45, R46",CRCW04021K00FKEDC,3,1k,Thick Film Resistors - SMD 0402 1/16watt 1Kohms 1%,PANASONIC 0402,Exact MPN; no automatic substitution.,CRCW04021K00FKEDC,1k,31,15,,Not reverified; exact MPN required,Not reverified,,TBD,NO
S1,EVQ9P701P,1,,Tactile Switches SMD 3.5X2.9MM SID-OP L SHAPED TERM 1.6N,EVQ9P701P,Exact MPN; no automatic substitution.,EVQ9P701P,EVQ9P701P,32,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U1,AT86RF215-ZU,1,,"RF Transceiver Dual Band IEEE 802.15.4 TRX, 48QFN",QFN50P700X700X90-49N-D,Exact MPN; no automatic substitution.,AT86RF215-ZU,AT86RF215-ZU,33,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U2,2450FB15A050E,1,,2.45 GHz EIA 0805 Balun / Filter Combination 50 / 50Ohm 0805 (2012 Metric),FIL_0896BM15E0025E,Exact MPN; no automatic substitution.,2450FB15A050E,2450FB15A050E,34,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U3,ATX-12-F-26.000MHz-F05-T,1,26 MHz,"TCXO Oscillators XTAL OSC TCXO 26 MHz Clipped Sinewave 0.5ppm -40C +85C 2.5x2mm, 1.6-3.6V",TCXO_4_25x20,Exact MPN; no automatic substitution.,ATX-12-F-26.000MHz-F05-T,ATX-12-F-26.000MHz-F05-T,35,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U4,0896BM15E0025E,1,,RF Balun 863MHz ~ 928MHz 50 / 50Ohm 0805 (2012 Metric),FIL_0896BM15E0025E,Exact MPN; no automatic substitution.,0896BM15E0025E,0896BM15E0025E,36,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U5,NCV8187AMT330TAG,1,,LDO Voltage Regulators 1.2A 3.3V Active discharge,SON65P200X200X80-7N,Exact MPN; no automatic substitution.,NCV8187AMT330TAG,NCV8187AMT330TAG,37,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U6,TLV7111225DSER,1,,LDO Voltage Regulators Dual 200mA Output Lo Noise Hi PSRR LDO Rg,SON50P150X150X80-6N,Exact MPN; no automatic substitution.,TLV7111225DSER,TLV7111225DSER,38,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"U9, U15",MAAM-011229,2,,RF Amplifier .05-4GHz NF 2.2dBmax -40C +85C,PDFN_2MM_8LEAD,Exact MPN; no automatic substitution.,MAAM-011229,MAAM-011229,39,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U10,LFCN-2250+,1,,"LTCC Low Pass Filter, DC - 2200 MHz, 50O",FV1206,Exact MPN; no automatic substitution.,LFCN-2250+,LFCN-2250+,40,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"U11, U18",SKY13373-460LF,2,,RF Switch ICs .1-6.0GHz SP3T IL .45dB @ 2.5GHz,QFN50P200X200X60-13N-D,Exact MPN; no automatic substitution.,SKY13373-460LF,SKY13373-460LF,41,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U12,HFCN-2275+,1,,Signal Conditioning HI PASS FLTR / SURF MT / RoHS,FV1206,Exact MPN; no automatic substitution.,HFCN-2275+,HFCN-2275+,42,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"U13, U14",CG2164X3-C2,2,,RF Switch ICs 2.5 and 6GHz DPDT 802.11a/b/g/n/ac,SON50P150X150X40-7N,Exact MPN; no automatic substitution.,CG2164X3-C2,CG2164X3-C2,43,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U16,ICE40LP1K-QN84,1,,FPGA - Field Programmable Gate Array iCE40LP 1280 LUTs 1.2V Ultra Low-Power,LATTICE_ICE40LP1K-QN84,Exact MPN; no automatic substitution.,ICE40LP1K-QN84,ICE40LP1K-QN84,44,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"U19, U20",CG2409X3-C2,2,,RF Switch ICs 50-6000MHz SPDT 802.11a/b/g/n/ac,SON50P150X150X40-7N,Exact MPN; no automatic substitution.,CG2409X3-C2,CG2409X3-C2,45,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U21,TC4-19G2+,1,,"Audio Transformers / Signal Transformers TC XFMR / SURF MOUNT / RoHS, Alternatives - TC4-19+",TC4-19,Exact MPN; no automatic substitution. Description mentions TC4-19+; that alternative is NOT selected.,TC4-19G2+,TC4-19G2+,46,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U22,RFFC5072TR13,1,,RF Mixer LO Freq. 85-4200MHz WB Synthesizer/VCO,QFN50P500X500X85_HS-33N,Exact MPN; no automatic substitution.,RFFC5072TR13,RFFC5072TR13,47,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U23,TC1-1-13M+,1,,Transformers / Signal Transformers TC XFMR / SURF MOUNT,TC1-1-13M,Exact MPN; no automatic substitution.,TC1-1-13M+,TC1-1-13M+,48,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U25,SG-8018CG 125.0000M-TJHSA3,1,,Standard Clock Oscillators SG-8018CG 125.0000M-TJHPA3: MHZ OSC 1.8V 3.3V +/-50PPM -40 105C O/E 250TR,SG-8018CG,"Exact MPN; no automatic substitution. RESOLVED: use primary MPN SG-8018CG 125.0000M-TJHSA3. The schematic and primary BOM MPN agree on the standby (S) variant; TJHPA3 in the source description/comment/PnP is treated as stale metadata. Pin 1 is tied high, but the P variant is not an approved substitution.",SG-8018CG 125.0000M-TJHSA3,SG-8018CG 125.0000M-TJHPA3,49,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
U26,CAT24C32HU4I-GT3,1,,EEPROM Serial-I2C 32K 4Kx8 1.8V/5V UDFN8 CAT24C32HU4I-GT3,SON50P300X200X55-9N,Exact MPN; no automatic substitution.,CAT24C32HU4I-GT3,CAT24C32HU4I-GT3,50,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"U27, U28","MMBT3904,215",2,,Bipolar Transistors - BJT TRANS BIPOLAR,SOT95P240X111-3N,Exact MPN; no automatic substitution.,"MMBT3904,215","MMBT3904,215",51,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
